OI	Chng in OI	Volume	IV	LTP	Chng	Bid Qty	Bid	Ask	Ask Qty	Strike	Bid Qty	Bid	Ask	Ask Qty	Chng	LTP	IV	Volume	Chng in OI	OI
Calls chart for row 28	308	72	545	-	678.40	-24.55	130	672.60	675.85	130	22,550.00	4,225	10.65	10.70	3,250	-4.70	10.65	16.47	1,87,090	3,683	19,866	Puts chart for row 28
Calls chart for row 29	857	239	2,468	-	624.75	-17.65	195	626.60	628.80	65	22,600.00	17,420	13.10	13.20	12,350	-5.50	13.15	16.24	4,32,795	8,343	58,443	Puts chart for row 29
Calls chart for row 30	646	175	2,212	-	583.85	-13.50	130	580.40	582.65	130	22,650.00	5,590	16.25	16.30	130	-6.30	16.30	16.07	2,83,941	8,425	24,746	Puts chart for row 30
Calls chart for row 31	1,923	290	8,216	-	536.50	-19.20	195	534.45	536.05	520	22,700.00	11,895	20.10	20.20	8,190	-7.45	20.15	15.90	5,54,937	24,813	67,035	Puts chart for row 31
Calls chart for row 32	786	242	3,628	-	487.10	-24.50	130	489.40	491.20	130	22,750.00	3,185	24.95	25.05	2,990	-8.30	25.05	15.75	3,47,216	14,316	38,600	Puts chart for row 32
Calls chart for row 33	3,706	1,618	30,473	7.87	447.00	-22.15	195	445.60	447.00	260	22,800.00	4,160	31.15	31.25	3,380	-9.30	31.25	15.63	7,06,890	16,466	69,304	Puts chart for row 33
Calls chart for row 34	1,193	652	10,637	10.22	401.85	-24.65	260	403.10	404.10	130	22,850.00	65	38.15	38.25	2,730	-10.65	38.25	15.45	3,51,392	-78	38,069	Puts chart for row 34
Calls chart for row 35	4,957	2,101	67,619	11.45	362.15	-26.05	260	361.80	362.80	455	22,900.00	2,925	46.95	47.10	130	-12.15	47.00	15.42	7,12,084	28,805	65,689	Puts chart for row 35
Calls chart for row 36	2,637	1,967	44,663	11.53	323.00	-26.25	130	321.75	322.65	260	22,950.00	260	57.35	57.50	1,430	-13.30	57.50	15.28	4,94,384	20,088	33,101	Puts chart for row 36
Calls chart for row 37	22,763	4,855	4,56,726	12.23	285.85	-27.90	130	285.05	285.80	520	23,000.00	910	69.55	69.75	585	-14.50	69.80	15.19	15,32,222	69,809	1,41,092	Puts chart for row 37
Calls chart for row 38	7,539	5,555	2,47,124	12.26	249.15	-28.65	325	249.10	249.75	455	23,050.00	2,405	84.05	84.30	910	-15.30	84.10	15.18	6,67,677	33,257	45,694	Puts chart for row 38
Calls chart for row 39	32,566	19,038	13,21,497	12.39	216.75	-29.35	130	216.25	216.75	390	23,100.00	260	101.05	101.25	130	-15.70	101.25	15.18	19,61,185	89,667	1,29,400	Puts chart for row 39
Calls chart for row 40	24,959	17,470	9,91,457	12.57	185.60	-30.15	195	185.25	185.75	1,040	23,150.00	195	119.95	120.05	585	-16.70	120.00	15.04	11,93,556	55,826	74,063	Puts chart for row 40
Calls chart for row 41	96,799	39,848	19,50,015	12.49	157.10	-30.90	195	157.10	157.50	650	23,200.00	390	142.20	142.50	585	-16.25	142.55	15.15	20,66,511	66,863	1,43,102	Puts chart for row 41
Calls chart for row 42	54,668	25,204	11,78,298	12.61	131.65	-31.95	455	131.65	131.95	195	23,250.00	65	166.05	166.45	455	-16.40	166.05	15.04	10,19,625	29,230	55,198	Puts chart for row 42
Calls chart for row 43	1,13,467	26,845	18,96,051	12.63	108.85	-30.90	520	108.85	109.00	1,235	23,300.00	65	193.75	194.00	65	-15.35	193.80	15.10	13,06,571	25,311	84,357	Puts chart for row 43
Calls chart for row 44	45,124	3,147	8,15,372	12.57	89.05	-29.90	65	89.20	89.35	520	23,350.00	130	222.90	223.35	65	-14.95	223.40	15.12	2,95,223	2,505	19,833	Puts chart for row 44
Calls chart for row 45	93,147	502	12,60,647	12.59	72.00	-28.20	65	71.90	72.00	390	23,400.00	260	255.55	256.25	130	-12.85	256.30	15.40	3,67,482	943	36,054	Puts chart for row 45
Calls chart for row 46	35,333	3,342	5,53,848	12.61	57.30	-26.55	520	57.25	57.40	1,625	23,450.00	195	290.55	291.40	130	-12.00	291.30	15.41	64,552	630	6,777	Puts chart for row 46
